Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,1122,46
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,1497,458
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,702,969
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,1540,842
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,2237,1269
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,785,264
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,678,1249
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,2248,579
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,343,265
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,1030,779
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,1333,100
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,229,299
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,2222,642
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,482,707
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,726,600
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,1037,990
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,1732,1276
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,1982,1131
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,21,1164
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,2047,111
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,84,843
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,1474,691
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,585,391
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,262,1228
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,461,1244
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,1477,558
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,2105,941
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,211,594
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,1,1963,700
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,2,1122,46
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,2,1497,458
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,2,702,969
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,2,1540,842
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,2,2237,1269
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,2,785,264
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,2,678,1249
a,a,0,2.5,0.1,1523125094.818459,1523125098.085664,29,63,2,True,10,10,2,2248,579
