Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,1973,108
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,767,1104
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,527,153
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,1717,814
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,1222,292
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,2112,651
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,394,121
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,98,1057
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,1431,154
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,613,484
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,422,670
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,996,163
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,840,969
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,694,394
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,1092,807
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,1205,132
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,140,309
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,1736,335
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,1135,316
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,452,340
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,1729,697
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,619,295
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,593,517
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,1903,1100
a,a,0,2.5,0.1,1523125454.475535,1523125457.745717,40,51,1,False,10,10,1,2153,440
